"","index","airport","city","country","IATA","ICAO","latitude","longitude","altitude","timezone","DST","tz_database","type","source"
"404",407,"Norderney Airport","Norderney","Germany","NRD","EDWY",53.7069435119629,7.23000001907349,7,"1","E","Europe/Berlin","airport","OurAirports"
"405",408,"Flensburg-Schäferhaus Airport","Flensburg","Germany","FLF","EDXF",54.7733345031738,9.3788890838623,131,"1","E","Europe/Berlin","airport","OurAirports"
"406",409,"Rendsburg-Schachtholm Airport","Rendsburg","Germany","\N","EDXR",54.2200012207031,9.59944438934326,23,"1","E","Europe/Berlin","airport","OurAirports"
"407",410,"Westerland Sylt Airport","Westerland","Germany","GWT","EDXW",54.9132003784,8.34047031403,51,"1","E","Europe/Berlin","airport","OurAirports"
"736",750,"Spangdahlem Air Base","Spangdahlem","Germany","SPM","ETAD",49.9726982117,6.69250011444,1197,"1","E","Europe/Berlin","airport","OurAirports"
"737",751,"Ramstein Air Base","Ramstein","Germany","RMS","ETAR",49.4369010925293,7.60027980804443,776,"1","E","Europe/Berlin","airport","OurAirports"
"738",753,"[Duplicate] Giebelstadt Army Air Field","Giebelstadt","Germany","GHF","ETEU",49.6481018066,9.96648979187,980,"1","E","Europe/Berlin","airport","OurAirports"
"739",754,"Bückeburg Air Base","Brueckeburg","Germany","\N","ETHB",52.2785,9.08217,230,"1","E","Europe/Berlin","airport","OurAirports"
"740",755,"Celle Airport","Celle","Germany","ZCN","ETHC",52.5912017822266,10.0221004486084,129,"1","E","Europe/Berlin","airport","OurAirports"
"741",756,"Rheine Bentlage Air Base","Rheine-brentlange","Germany","\N","ETHE",52.291199,7.387,129,"1","E","Europe/Berlin","airport","OurAirports"
"742",757,"Fritzlar Airport","Fritzlar","Germany","\N","ETHF",51.1146,9.286,1345,"1","E","Europe/Berlin","airport","OurAirports"
"743",758,"Laupheim Air Base","Laupheim","Germany","\N","ETHL",48.220299,9.91002,1766,"1","E","Europe/Berlin","airport","OurAirports"
"744",759,"Mendig Airport","Mendig","Germany","\N","ETHM",50.3660011292,7.31533002853,597,"1","E","Europe/Berlin","airport","OurAirports"
"745",760,"Niederstetten Army Air Base","Niederstetten","Germany","\N","ETHN",49.391945,9.958889,1339,"1","E","Europe/Berlin","airport","OurAirports"
